series_name,series_order,model_name,model_slug,variant_type,model_order,capacity,swap_in_value_ngn,uk_end_user_price_ngn,uk_reseller_price_ngn,ng_end_user_price_ngn,ng_reseller_price_ngn
X,3,iPhone X,iphone-x,standard,0,256GB,155000,255000,230000,180000,170000
X,3,iPhone XS,iphone-xs,s,1,64GB,145000,245000,220000,170000,160000
X,3,iPhone XS,iphone-xs,s,1,256GB,170000,285000,260000,195000,185000
X,3,iPhone XS,iphone-xs,s,1,512GB,215000,355000,305000,245000,235000
X,3,iPhone XS Max,iphone-xs-max,max,2,64GB,160000,265000,240000,185000,175000
X,3,iPhone XS Max,iphone-xs-max,max,2,256GB,185000,310000,285000,215000,205000
X,3,iPhone XS Max,iphone-xs-max,max,2,512GB,225000,375000,325000,260000,250000
X,3,iPhone XR,iphone-xr,xr,3,64GB,165000,235000,185000,190000,180000
X,3,iPhone XR,iphone-xr,xr,3,128GB,165000,235000,210000,190000,180000
X,3,iPhone XR,iphone-xr,xr,3,256GB,190000,260000,235000,220000,210000
11,4,iPhone 11,iphone-11,standard,0,64GB,160000,240000,215000,185000,175000
11,4,iPhone 11,iphone-11,standard,0,128GB,195000,275000,250000,225000,215000
11,4,iPhone 11,iphone-11,standard,0,256GB,230000,310000,285000,270000,255000
11,4,iPhone 11 Pro,iphone-11-pro,pro,1,64GB,185000,285000,260000,215000,205000
11,4,iPhone 11 Pro,iphone-11-pro,pro,1,256GB,260000,360000,310000,300000,285000
11,4,iPhone 11 Pro,iphone-11-pro,pro,1,512GB,310000,410000,360000,355000,340000
11,4,iPhone 11 Pro Max,iphone-11-pro-max,max,2,64GB,190000,310000,285000,220000,210000
11,4,iPhone 11 Pro Max,iphone-11-pro-max,max,2,256GB,265000,385000,335000,305000,290000
11,4,iPhone 11 Pro Max,iphone-11-pro-max,max,2,512GB,315000,435000,385000,360000,345000
12,5,iPhone 12 mini,iphone-12-mini,mini,0,64GB,175000,285000,260000,205000,195000
12,5,iPhone 12 mini,iphone-12-mini,mini,0,128GB,210000,320000,295000,240000,230000
12,5,iPhone 12 mini,iphone-12-mini,mini,0,256GB,270000,380000,330000,310000,295000
12,5,iPhone 12,iphone-12,standard,1,64GB,215000,325000,300000,245000,235000
12,5,iPhone 12,iphone-12,standard,1,128GB,275000,385000,335000,315000,300000
12,5,iPhone 12,iphone-12,standard,1,256GB,310000,420000,370000,355000,340000
12,5,iPhone 12 Pro,iphone-12-pro,pro,2,128GB,300000,420000,370000,345000,330000
12,5,iPhone 12 Pro,iphone-12-pro,pro,2,256GB,355000,475000,425000,410000,390000
12,5,iPhone 12 Pro,iphone-12-pro,pro,2,512GB,405000,525000,475000,465000,445000
12,5,iPhone 12 Pro Max,iphone-12-pro-max,max,3,128GB,330000,450000,400000,385000,365000
12,5,iPhone 12 Pro Max,iphone-12-pro-max,max,3,256GB,380000,500000,450000,440000,420000
12,5,iPhone 12 Pro Max,iphone-12-pro-max,max,3,512GB,440000,560000,510000,510000,485000
13,6,iPhone 13 mini,iphone-13-mini,mini,0,128GB,255000,385000,335000,295000,280000
13,6,iPhone 13 mini,iphone-13-mini,mini,0,256GB,300000,430000,380000,345000,330000
13,6,iPhone 13 mini,iphone-13-mini,mini,0,512GB,345000,475000,425000,400000,380000
13,6,iPhone 13,iphone-13,standard,1,128GB,310000,440000,390000,355000,340000
13,6,iPhone 13,iphone-13,standard,1,256GB,360000,490000,440000,415000,395000
13,6,iPhone 13,iphone-13,standard,1,512GB,410000,540000,490000,470000,450000
13,6,iPhone 13 Pro,iphone-13-pro,pro,2,128GB,360000,510000,460000,415000,395000
13,6,iPhone 13 Pro,iphone-13-pro,pro,2,256GB,420000,570000,520000,485000,460000
13,6,iPhone 13 Pro,iphone-13-pro,pro,2,512GB,480000,630000,580000,555000,530000
13,6,iPhone 13 Pro,iphone-13-pro,pro,2,1TB,540000,690000,640000,625000,595000
13,6,iPhone 13 Pro Max,iphone-13-pro-max,max,3,128GB,395000,545000,495000,455000,435000
13,6,iPhone 13 Pro Max,iphone-13-pro-max,max,3,256GB,455000,605000,555000,525000,500000
13,6,iPhone 13 Pro Max,iphone-13-pro-max,max,3,512GB,525000,675000,625000,610000,580000
13,6,iPhone 13 Pro Max,iphone-13-pro-max,max,3,1TB,595000,745000,695000,690000,655000
14,7,iPhone 14,iphone-14,standard,0,128GB,400000,550000,500000,460000,440000
14,7,iPhone 14,iphone-14,standard,0,256GB,460000,610000,560000,530000,505000
14,7,iPhone 14,iphone-14,standard,0,512GB,520000,670000,620000,600000,570000
14,7,iPhone 14 Plus,iphone-14-plus,plus,1,128GB,425000,575000,525000,495000,470000
14,7,iPhone 14 Plus,iphone-14-plus,plus,1,256GB,485000,635000,585000,560000,535000
14,7,iPhone 14 Plus,iphone-14-plus,plus,1,512GB,555000,705000,655000,640000,610000
14,7,iPhone 14 Pro,iphone-14-pro,pro,2,128GB,480000,650000,600000,555000,530000
14,7,iPhone 14 Pro,iphone-14-pro,pro,2,256GB,555000,725000,675000,640000,610000
14,7,iPhone 14 Pro,iphone-14-pro,pro,2,512GB,655000,825000,745000,755000,720000
14,7,iPhone 14 Pro,iphone-14-pro,pro,2,1TB,730000,900000,820000,825000,785000
14,7,iPhone 14 Pro Max,iphone-14-pro-max,max,3,128GB,525000,695000,645000,610000,580000
14,7,iPhone 14 Pro Max,iphone-14-pro-max,max,3,256GB,635000,805000,725000,735000,700000
14,7,iPhone 14 Pro Max,iphone-14-pro-max,max,3,512GB,710000,880000,800000,805000,765000
14,7,iPhone 14 Pro Max,iphone-14-pro-max,max,3,1TB,790000,960000,880000,885000,845000
15,8,iPhone 15,iphone-15,standard,0,128GB,500000,670000,620000,580000,550000
15,8,iPhone 15,iphone-15,standard,0,256GB,575000,745000,695000,660000,630000
15,8,iPhone 15,iphone-15,standard,0,512GB,670000,840000,760000,770000,735000
15,8,iPhone 15 Plus,iphone-15-plus,plus,1,128GB,535000,705000,655000,620000,590000
15,8,iPhone 15 Plus,iphone-15-plus,plus,1,256GB,635000,805000,725000,735000,700000
15,8,iPhone 15 Plus,iphone-15-plus,plus,1,512GB,710000,880000,800000,805000,765000
15,8,iPhone 15 Pro,iphone-15-pro,pro,2,128GB,630000,820000,740000,730000,695000
15,8,iPhone 15 Pro,iphone-15-pro,pro,2,256GB,715000,905000,825000,810000,770000
15,8,iPhone 15 Pro,iphone-15-pro,pro,2,512GB,805000,995000,915000,905000,860000
15,8,iPhone 15 Pro,iphone-15-pro,pro,2,1TB,905000,1095000,1015000,1010000,960000
15,8,iPhone 15 Pro Max,iphone-15-pro-max,max,3,256GB,795000,985000,905000,890000,850000
15,8,iPhone 15 Pro Max,iphone-15-pro-max,max,3,512GB,890000,1080000,1000000,990000,945000
15,8,iPhone 15 Pro Max,iphone-15-pro-max,max,3,1TB,1015000,1205000,1120000,1125000,1070000
16,9,iPhone 16,iphone-16,standard,0,128GB,705000,855000,775000,800000,760000
16,9,iPhone 16,iphone-16,standard,0,256GB,790000,940000,860000,885000,845000
16,9,iPhone 16,iphone-16,standard,0,512GB,880000,1030000,950000,980000,935000
16,9,iPhone 16 Plus,iphone-16-plus,plus,1,128GB,750000,900000,820000,845000,805000
16,9,iPhone 16 Plus,iphone-16-plus,plus,1,256GB,845000,995000,915000,945000,900000
16,9,iPhone 16 Plus,iphone-16-plus,plus,1,512GB,940000,1090000,1010000,1045000,995000
16,9,iPhone 16 Pro,iphone-16-pro,pro,2,128GB,850000,1030000,950000,950000,905000
16,9,iPhone 16 Pro,iphone-16-pro,pro,2,256GB,960000,1140000,1055000,1065000,1015000
16,9,iPhone 16 Pro,iphone-16-pro,pro,2,512GB,1075000,1255000,1165000,1185000,1130000
16,9,iPhone 16 Pro,iphone-16-pro,pro,2,1TB,1210000,1390000,1295000,1330000,1265000
16,9,iPhone 16 Pro Max,iphone-16-pro-max,max,3,256GB,985000,1165000,1080000,1090000,1040000
16,9,iPhone 16 Pro Max,iphone-16-pro-max,max,3,512GB,1120000,1300000,1210000,1235000,1175000
16,9,iPhone 16 Pro Max,iphone-16-pro-max,max,3,1TB,1300000,1480000,1380000,1425000,1355000
17,10,iPhone 17,iphone-17,standard,0,128GB,760000,940000,860000,855000,815000
17,10,iPhone 17,iphone-17,standard,0,256GB,850000,1030000,950000,950000,905000
17,10,iPhone 17,iphone-17,standard,0,512GB,945000,1125000,1045000,1050000,1000000
17,10,iPhone 17 Air,iphone-17-air,air,1,128GB,805000,985000,905000,905000,860000
17,10,iPhone 17 Air,iphone-17-air,air,1,256GB,900000,1080000,1000000,1005000,955000
17,10,iPhone 17 Air,iphone-17-air,air,1,512GB,1010000,1190000,1105000,1120000,1065000
17,10,iPhone 17 Pro,iphone-17-pro,pro,2,128GB,940000,1140000,1055000,1045000,995000
17,10,iPhone 17 Pro,iphone-17-pro,pro,2,256GB,1055000,1255000,1165000,1165000,1110000
17,10,iPhone 17 Pro,iphone-17-pro,pro,2,512GB,1190000,1390000,1295000,1305000,1245000
17,10,iPhone 17 Pro,iphone-17-pro,pro,2,1TB,1340000,1540000,1440000,1465000,1395000
17,10,iPhone 17 Pro Max,iphone-17-pro-max,max,3,256GB,1100000,1300000,1210000,1215000,1155000
17,10,iPhone 17 Pro Max,iphone-17-pro-max,max,3,512GB,1240000,1440000,1345000,1360000,1295000
17,10,iPhone 17 Pro Max,iphone-17-pro-max,max,3,1TB,1415000,1615000,1510000,1545000,1470000
17,10,iPhone 17 Pro Max,iphone-17-pro-max,max,3,2TB,1605000,1805000,1690000,1745000,1660000
SE,11,iPhone SE (1st gen),iphone-se-1st-gen,standard,0,16GB,55000,90000,40000,65000,60000
SE,11,iPhone SE (1st gen),iphone-se-1st-gen,standard,0,32GB,55000,95000,45000,65000,60000
SE,11,iPhone SE (1st gen),iphone-se-1st-gen,standard,0,64GB,60000,100000,50000,70000,65000
SE,11,iPhone SE (2nd gen),iphone-se-2nd-gen,standard,1,64GB,130000,215000,165000,150000,145000
SE,11,iPhone SE (2nd gen),iphone-se-2nd-gen,standard,1,128GB,145000,240000,190000,170000,160000
SE,11,iPhone SE (2nd gen),iphone-se-2nd-gen,standard,1,256GB,145000,245000,220000,170000,160000
SE,11,iPhone SE (3rd gen),iphone-se-3rd-gen,standard,2,64GB,135000,225000,175000,160000,150000
SE,11,iPhone SE (3rd gen),iphone-se-3rd-gen,standard,2,128GB,150000,250000,200000,175000,165000
SE,11,iPhone SE (3rd gen),iphone-se-3rd-gen,standard,2,256GB,150000,250000,225000,175000,165000
